t,T+R,N_0,N_1,N_2
0,1,1.6644e-23,2.56952e-44,7.75361e-51
10,1,1.66089e-23,4.93782e-37,5.04779e-40
20,1,1.65597e-23,7.91626e-35,1.37177e-36
30,1,1.65569e-23,4.11416e-34,5.25986e-36
40,1,1.6562e-23,2.03051e-33,1.29585e-35
50,1,1.65311e-23,5.95594e-32,3.97952e-34
60,1,1.64603e-23,1.62786e-31,2.74128e-33
70,1,1.64739e-23,1.09368e-31,3.47635e-33
80,1,1.65209e-23,4.20777e-32,5.17361e-33
90,1,1.6513e-23,5.50446e-32,5.69823e-33
100,1,1.6488e-23,2.31017e-31,1.79449e-31
110,1,1.65183e-23,8.68435e-31,3.32013e-30
120,1,1.65439e-23,1.82344e-30,1.40592e-29
130,1.0002,1.65175e-23,2.787e-30,2.28548e-29
140,1.00613,1.65028e-23,2.03794e-29,2.81536e-29
150,1.05585,2.33522e-23,1.8698e-25,4.15746e-26
160,0.666942,3.50544e-21,1.02131e-21,2.28312e-22
170,1.92556,6.05093e-18,1.67156e-18,3.87842e-19
180,1.09381,3.59031e-15,9.99155e-16,2.4148e-16
190,0.537932,9.1182e-13,2.54997e-13,6.44416e-14
200,0.0256426,1.11887e-10,3.13307e-11,8.30949e-12
210,0.130136,7.29205e-09,2.03608e-09,5.68799e-10
220,0.0560805,2.72011e-07,7.53841e-08,2.22659e-08
230,0.113161,6.15859e-06,1.68585e-06,5.28606e-07
240,0.128338,8.8535e-05,2.38287e-05,7.96793e-06
250,0.157662,0.000835326,0.000220282,7.89884e-05
260,0.197596,0.00528925,0.00136537,0.000528925
270,0.255524,0.0227688,0.00577557,0.00244342
280,0.357291,0.0670612,0.0169132,0.00794447
290,0.495846,0.136216,0.0349537,0.0186754
300,0.630099,0.197088,0.0531627,0.0332289
310,0.721179,0.22489,0.0650128,0.048123
320,0.787536,0.239201,0.0720529,0.0615222
330,0.845757,0.254965,0.0773005,0.0730901
340,0.888175,0.264537,0.0806402,0.08241
350,0.919118,0.270973,0.0827218,0.0895368
360,0.941966,0.275765,0.0841365,0.0948038
370,0.957974,0.278816,0.0850713,0.0985716
380,0.969429,0.281053,0.0857493,0.10122
390,0.977362,0.282526,0.0862385,0.103059
400,0.982895,0.283575,0.0866035,0.104339
410,0.986691,0.28429,0.0868684,0.105236
420,0.989278,0.284787,0.0870551,0.105876
430,0.99103,0.28514,0.087179,0.106341
440,0.992193,0.285385,0.0872535,0.106683
450,0.99296,0.285564,0.0872917,0.106938
460,0.993453,0.285694,0.0873042,0.107128
470,0.993764,0.285792,0.0873005,0.107269
480,0.993953,0.285868,0.0872875,0.107371
490,0.994064,0.285926,0.0872706,0.107444
500,0.994124,0.285973,0.0872532,0.107495
600,0.994142,0.286137,0.0871918,0.107583
700,0.994136,0.286147,0.087192,0.107583
800,0.994136,0.286148,0.0871921,0.107583
900,0.994136,0.286148,0.0871921,0.107583
1000,0.994136,0.286148,0.0871921,0.107583
1100,0.994136,0.286148,0.0871921,0.107583
1200,0.994136,0.286148,0.0871921,0.107583
1300,0.994136,0.286148,0.0871921,0.107583
1400,0.994136,0.286148,0.0871921,0.107583
1500,0.994136,0.286148,0.0871921,0.107583
1600,0.994136,0.286148,0.0871921,0.107583
1700,0.994136,0.286148,0.0871921,0.107583
1800,0.994136,0.286148,0.0871921,0.107583
1900,0.994136,0.286148,0.0871921,0.107583
2000,0.994136,0.286148,0.0871921,0.107583
2100,0.994136,0.286148,0.0871921,0.107583
2200,0.994136,0.286148,0.0871921,0.107583
2300,0.994136,0.286148,0.0871921,0.107583
2400,0.994136,0.286148,0.0871921,0.107583
2500,0.994136,0.286148,0.0871921,0.107583
2600,0.994136,0.286148,0.0871921,0.107583
2700,0.994136,0.286148,0.0871921,0.107583
2800,0.994136,0.286148,0.0871921,0.107583
2900,0.994136,0.286148,0.0871921,0.107583
3000,0.994136,0.286148,0.0871921,0.107583
3100,0.994136,0.286148,0.0871921,0.107583
3200,0.994136,0.286148,0.0871921,0.107583
3300,0.994136,0.286148,0.0871921,0.107583
3400,0.994136,0.286148,0.0871921,0.107583
3500,0.994136,0.286148,0.0871921,0.107583
3600,0.994136,0.286148,0.0871921,0.107583
3700,0.994136,0.286148,0.0871921,0.107583
3800,0.994136,0.286148,0.0871921,0.107583
3900,0.994136,0.286148,0.0871921,0.107583
4000,0.994136,0.286148,0.0871921,0.107583
4100,0.994136,0.286148,0.0871921,0.107583
4200,0.994136,0.286148,0.0871921,0.107583
4300,0.994136,0.286148,0.0871921,0.107583
4400,0.994136,0.286148,0.0871921,0.107583
4500,0.994136,0.286148,0.0871921,0.107583
4600,0.994136,0.286148,0.0871921,0.107583
4700,0.994136,0.286148,0.0871921,0.107583
4800,0.994136,0.286148,0.0871921,0.107583
4900,0.994136,0.286148,0.0871921,0.107583
5000,0.994136,0.286148,0.0871921,0.107583
5100,0.994136,0.286148,0.0871921,0.107583
5200,0.994136,0.286148,0.0871921,0.107583
5300,0.994136,0.286148,0.0871921,0.107583
5400,0.994136,0.286148,0.0871921,0.107583
5500,0.994136,0.286148,0.0871921,0.107583
5600,0.994136,0.286148,0.0871921,0.107583
5700,0.994136,0.286148,0.0871921,0.107583
5800,0.994136,0.286148,0.0871921,0.107583
5900,0.994136,0.286148,0.0871921,0.107583
6000,0.994136,0.286148,0.0871921,0.107583
6100,0.994136,0.286148,0.0871921,0.107583
6200,0.994136,0.286148,0.0871921,0.107583
6300,0.994136,0.286148,0.0871921,0.107583
6400,0.994136,0.286148,0.0871921,0.107583
6500,0.994136,0.286148,0.0871921,0.107583
6600,0.994136,0.286148,0.0871921,0.107583
6700,0.994136,0.286148,0.0871921,0.107583
6800,0.994136,0.286148,0.0871921,0.107583
6900,0.994136,0.286148,0.0871921,0.107583
7000,0.994136,0.286148,0.0871921,0.107583
7100,0.994136,0.286148,0.0871921,0.107583
7200,0.994136,0.286148,0.0871921,0.107583
7300,0.994136,0.286148,0.0871921,0.107583
7400,0.994136,0.286148,0.0871921,0.107583
7500,0.994136,0.286148,0.0871921,0.107583
7600,0.994136,0.286148,0.0871921,0.107583
7700,0.994136,0.286148,0.0871921,0.107583
7800,0.994136,0.286148,0.0871921,0.107583
7900,0.994136,0.286148,0.0871921,0.107583
8000,0.994136,0.286148,0.0871921,0.107583
8100,0.994136,0.286148,0.0871921,0.107583
8200,0.994136,0.286148,0.0871921,0.107583
8300,0.994136,0.286148,0.0871921,0.107583
8400,0.994136,0.286148,0.0871921,0.107583
